id,source,medium,service,lifecycle,final_sale_value_raw,final_sale_value,quoted_value,created_at
472513526,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781979721
472512527,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781979536
472503389,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781978014
472498359,Meta Ads,Paid Ads,Tinting,Quotation,,0.0,0.0,1781977169
472492036,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781976147
472488662,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781975595
472469345,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781972644
472459909,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781971212
472448773,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781969595
472389087,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781961511
472373361,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781958935
472361587,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781956965
472355005,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781955763
472344805,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781953920
472338322,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781952666
472327022,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781950420
472281433,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781948626
472275427,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781947990
472271181,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781947603
472255800,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781944706
472252486,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781943990
472249587,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781943402
472249441,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781943373
472249334,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781943355
472240794,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781941521
472231636,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781939980
472223647,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781938088
472223579,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781938070
472220236,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781937322
472203432,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781933747
472197332,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781932441
472191817,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781931107
472191357,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781930994
472190306,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781930717
472188542,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781930300
472171910,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781926154
472145626,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781920257
472003439,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781906204
471954112,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781901175
471951874,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781900894
471806642,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781897108
471805659,Meta Ads,Paid Ads,Tinting,Quotation,,0.0,0.0,1781896949
471787390,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781894842
471786318,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781894665
471779544,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781893588
471774589,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781892872
471770068,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781892163
471759002,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781890445
471758050,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781890300
471757411,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781890196
471742955,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781888528
471736589,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781887744
471729321,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781886848
471724974,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781886273
471721584,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781885811
471709035,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781884363
471704364,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781884045
471697212,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781883155
471692326,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781882542
471688176,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781882042
471687756,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781881988
471675470,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781880432
471669024,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781879663
471658524,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781878316
471644657,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781876667
471644253,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781876618
471634534,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781875405
471634074,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781875337
471628874,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781874606
471628543,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781874560
471625698,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781874177
471612455,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781872777
